index,title,company,industry,location,salary,education,department,experience,language,skills,additional,relevance_score,summary,link
456,稽核系統高級工程師,10 / 03稽核系統高級工程師瑞儀光電股份有限公司,N/A,高雄市,"月薪 50,000元",大學,N/A,N/A,N/A,N/A,N/A,1,10 / 03 ｜ 1 ~ 5 人應徵,https://www.1111.com.tw/job/132106423
457,維修維護系統工程師,10 / 30維修維護系統工程師金球電腦系統有限公司,服務相關協助公司完成資料作業,台北市,"月薪 35,000元",高中職,N/A,N/A,N/A,N/A,需,1,10 / 30 ｜ 1 ~ 5 人應徵,https://www.1111.com.tw/job/98826296
458,勞安工程師-(雙北工區),10 / 30勞安工程師-(雙北工區)皇翔建設股份有限公司,N/A,台北市,面議（經常性薪資達4萬元,專科,N/A,N/A,N/A,N/A,N/A,1,10 / 30 ｜ 1 ~ 5 人應徵,https://www.1111.com.tw/job/77336271
459,空調技術管理工程師,10 / 28空調技術管理工程師華氣社股份有限公司,N/A,新竹縣,"月薪 33,000元",專科,N/A,不拘,N/A,N/A,N/A,1,10 / 28 ｜ 1 ~ 5 人應徵,https://www.1111.com.tw/job/132141372
460,品保部工程師_Quality Assurance Engineer,10 / 27品保部 工程師_Quality Assurance Engineer國光生物科技股份有限公司,N/A,台中市,"月薪 36,840元",碩士,N/A,不拘,N/A,N/A,N/A,2,10 / 27 ｜ 1 ~ 5 人應徵,https://www.1111.com.tw/job/91271624
461,品管工程師(大安大甲),10 / 25品管工程師(大安大甲)福清營造股份有限公司,N/A,台中市,面議（經常性薪資達4萬元,專科,N/A,不拘,N/A,N/A,N/A,1,10 / 25 ｜ 1 ~ 5 人應徵,https://www.1111.com.tw/job/112997681
462,流程助理工程師(新竹),10 / 26流程助理工程師(新竹)中欣集團-中欣行股份有限公司(中欣工程行/中鑫股份有限公司,N/A,新竹市,"月薪 32,000元",專科,N/A,不拘,N/A,N/A,N/A,1,10 / 26 ｜ 1 ~ 5 人應徵,https://www.1111.com.tw/job/112976295
463,化學CY部業務工程師,10 / 17化學CY部業務工程師六和化工股份有限公司,N/A,台北市,面議（經常性薪資達4萬元,碩士,N/A,不拘,N/A,N/A,N/A,1,10 / 17 ｜ 1 ~ 5 人應徵,https://www.1111.com.tw/job/132100317
464,前端工程師(專案三組),10 / 27前端工程師(專案三組)康和綜合證券股份有限公司,N/A,台北市,面議（經常性薪資達4萬元,大學,N/A,不拘,N/A,Git,N/A,1,10 / 27 ｜ 1 ~ 5 人應徵,https://www.1111.com.tw/job/130450486
465,MLB 實驗室工程師-印度,10 / 22MLB 實驗室工程師-印度鴻海精密工業股份有限公司,N/A,,面議（經常性薪資達4萬元,專科,N/A,不拘,N/A,N/A,N/A,2,10 / 22 ｜ 1 ~ 5 人應徵,https://www.1111.com.tw/job/132070178
466,工安工程師◆苗栗銅鑼◆,10 / 29工安工程師◆苗栗銅鑼◆世華安全衛生顧問管理有限公司,建築╱工程技術服務4.收集、分析並解釋與職業,苗栗縣,"月薪 40,000元",高中職,N/A,N/A,N/A,N/A,N/A,2,10 / 29 ｜ 1 ~ 5 人應徵,https://www.1111.com.tw/job/91479602
467,後端工程師(專案三組),10 / 27後端工程師(專案三組)康和綜合證券股份有限公司,N/A,台北市,面議（經常性薪資達4萬元,大學,N/A,不拘,N/A,N/A,N/A,1,10 / 27 ｜ 1 ~ 5 人應徵,https://www.1111.com.tw/job/130450496
468,SA系統分析工程師(FC),10 / 27SA系統分析工程師(FC)德義資訊股份有限公司,N/A,桃園市,面議（經常性薪資達4萬元,大學,N/A,N/A,N/A,N/A,需,2,10 / 27 ｜ 1 ~ 5 人應徵,https://www.1111.com.tw/job/130336124
469,IT網路工程師_汐止UTOWN,10 / 30IT網路工程師_汐止UTOWNGARMIN 台灣國際航電股份有限公司,N/A,新北市,面議（經常性薪資達4萬元,大學,N/A,N/A,N/A,N/A,N/A,1,10 / 30 ｜ 1 ~ 5 人應徵,https://www.1111.com.tw/job/132108761
470,環安工程師–高雄大寮,10 / 28環安工程師–高雄大寮長興材料工業股份有限公司,製造1.執行安衛環消防申報業,高雄市,面議（經常性薪資達4萬元,碩士,N/A,N/A,N/A,N/A,N/A,1,10 / 28 ｜ 1 ~ 5 人應徵,https://www.1111.com.tw/job/132144715
471,AI人工智慧軟體工程師,10 / 29AI人工智慧軟體工程師群控系統有限公司,N/A,高雄市,面議（經常性薪資達4萬元,專科,N/A,不拘,N/A,N/A,N/A,5,10 / 29 ｜ 1 ~ 5 人應徵,https://www.1111.com.tw/job/85116282
472,[Server]軟體開發工程師(桃園),10 / 29[Server]軟體開發工程師(桃園)Inventec_英業達股份有限公司,軟體開發工程師(桃園)Inventec_英業,桃園市,"月薪 35,000元",大學,N/A,不拘,N/A,"Python, SQL, C\+\+, C#",N/A,3,10 / 29 ｜ 1 ~ 5 人應徵,https://www.1111.com.tw/job/130250510
473,測量工程師、測量助理,10 / 29測量工程師、測量助理廣測工程有限公司,N/A,高雄市,面議（經常性薪資達4萬元,高中職,N/A,N/A,N/A,N/A,N/A,0,10 / 29 ｜ 1 ~ 5 人應徵,https://www.1111.com.tw/job/132068984
474,內業工程師(新竹高鐵),10 / 27內業工程師(新竹高鐵)璉嶸營造有限公司,N/A,新竹縣,"月薪 30,000元",高中職,N/A,不拘,N/A,N/A,需,1,10 / 27 ｜ 1 ~ 5 人應徵,https://www.1111.com.tw/job/130250106
475,測量工程師(高雄捷運),10 / 26測量工程師(高雄捷運)工信工程股份有限公司,N/A,高雄市,面議（經常性薪資達4萬元,專科,N/A,不拘,N/A,N/A,N/A,1,10 / 26 ｜ 1 ~ 5 人應徵,https://www.1111.com.tw/job/113060043
476,規劃繪圖工程師(新竹),10 / 28規劃繪圖工程師(新竹)鋒霈環境科技股份有限公司,N/A,新竹縣,"月薪 35,000元",專科,N/A,N/A,N/A,N/A,N/A,0,10 / 28 ｜ 1 ~ 5 人應徵,https://www.1111.com.tw/job/132135380
477,化驗工程師(中科二林),10 / 26化驗工程師(中科二林)中欣集團-中欣行股份有限公司(中欣工程行/中鑫股份有限公司,N/A,彰化縣,"月薪 34,000元",大學,N/A,不拘,N/A,N/A,N/A,1,10 / 26 ｜ 1 ~ 5 人應徵,https://www.1111.com.tw/job/131939998
478,資深測量工程師(岡山),10 / 30資深測量工程師(岡山)新亞建設開發股份有限公司,建築工程內業,高雄市,"月薪 50,000元",專科,N/A,N/A,N/A,N/A,N/A,1,10 / 30 ｜ 1 ~ 5 人應徵,https://www.1111.com.tw/job/130337051
479,PLC程式人員(電控工程師),10 / 27PLC程式人員(電控工程師)翔慶精密工業有限公司,N/A,新北市,"月薪 30,000元",專科,N/A,N/A,N/A,N/A,N/A,1,10 / 27 ｜ 1 ~ 5 人應徵,https://www.1111.com.tw/job/113132558
480,營造工地助理(工程師),10 / 28營造工地助理(工程師)鈺來營造有限公司,N/A,高雄市,"月薪 50,000元",專科,者佳,不拘,N/A,N/A,需,1,10 / 28 ｜ 1 ~ 5 人應徵,https://www.1111.com.tw/job/112992762
